省份,流域,断面名称,监测时间,水质类别,水温<br/><span class='unit'>(℃)</span>,pH<br/><span class='unit'>(无量纲)</span>,溶解氧<br/><span class='unit'>(mg/L)</span>,电导率<br/><span class='unit'>(μS/cm)</span>,浊度<br/><span class='unit'>(NTU)</span>,高锰酸盐指数<br/><span class='unit'>(mg/L)</span>,氨氮<br/><span class='unit'>(mg/L)</span>,总磷<br/><span class='unit'>(mg/L)</span>,总氮<br/><span class='unit'>(mg/L)</span>,叶绿素α<br/><span class='unit'>(mg/L)</span>,藻密度<br/><span class='unit'>(cells/L)</span>,站点情况
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:东城区&#10;所属河流:北护城河'>鼓楼外大街</span>,11-04 20:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.79'>15.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.432'>8.43</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.349'>9.35</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：385.8'>385.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.657'>3.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.611'>1.61</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0509'>0.051</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0162'>0.016</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.153'>3.15</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:西城区&#10;所属河流:永定河引水渠'>广北滨河路(桥）</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.02'>15.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.5343'>8.53</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.764'>10.76</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：517.944'>517.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.224'>6.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.046'>2.05</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0707'>0.071</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.03417'>0.034</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.1509'>4.15</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:朝阳区&#10;所属河流:坝河'>沙窝</span>,11-04 20:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.61'>17.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.388'>7.39</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.19'>9.19</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：863.7'>863.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.433'>10.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.021'>4.02</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.2824'>0.282</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0977'>0.098</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.862'>9.86</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:朝阳区&#10;所属河流:通惠河'>新八里桥</span>,11-04 20:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.82'>16.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.993'>7.99</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.644'>9.64</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：743.561'>743.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.443'>2.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.31'>4.31</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0374'>0.037</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0924'>0.092</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.885'>9.88</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:丰台区&#10;所属河流:凉水河'>大红门闸上</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：18.64'>18.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.304'>8.30</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.695'>8.70</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1300.7'>1300.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.785'>6.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.297'>2.30</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0523'>0.052</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0689'>0.069</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：15.145'>15.14</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:石景山区&#10;所属河流:永定河'>南大荒桥</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.51'>13.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.0738'>8.07</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.549'>8.55</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：838.87'>838.9</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.429'>5.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.312'>2.31</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1236'>0.124</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0225'>0.022</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.65'>3.65</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:海淀区&#10;所属河流:清河'>清河闸</span>,11-04 20:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.17'>17.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.98'>7.98</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.208'>8.21</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：932.52'>932.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.962'>2.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.34'>3.34</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.0095'>1.010</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0391'>0.039</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.727'>9.73</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:海淀区&#10;所属河流:土城沟'>花园路</span>,11-04 20:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.27'>17.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.662'>7.66</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.051'>10.05</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：525.35'>525.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.755'>2.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.058'>2.06</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.06'>0.060</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0366'>0.037</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.673'>4.67</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:房山区&#10;所属河流:小清河'>八间房漫水桥</span>,11-04 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.6'>16.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.48'>7.48</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.29'>10.29</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1175.4'>1175.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.79'>2.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.108'>2.11</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.05'>0.050</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.92'>6.92</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:房山区&#10;所属河流:大石河'>码头</span>,11-04 20:00,,<span data-toggle='tooltip' data-placement='right' title='原始值：13.35'>13.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.772'>7.77</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.325'>9.32</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1061.3'>1061.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：62.312'>62.3</span>,--,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1008'>0.101</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0617'>0.062</span>,--,*,*,维护
