省份,流域,断面名称,监测时间,水质类别,水温<br/><span class='unit'>(℃)</span>,pH<br/><span class='unit'>(无量纲)</span>,溶解氧<br/><span class='unit'>(mg/L)</span>,电导率<br/><span class='unit'>(μS/cm)</span>,浊度<br/><span class='unit'>(NTU)</span>,高锰酸盐指数<br/><span class='unit'>(mg/L)</span>,氨氮<br/><span class='unit'>(mg/L)</span>,总磷<br/><span class='unit'>(mg/L)</span>,总氮<br/><span class='unit'>(mg/L)</span>,叶绿素α<br/><span class='unit'>(mg/L)</span>,藻密度<br/><span class='unit'>(cells/L)</span>,站点情况
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:东城区&#10;所属河流:北护城河'>鼓楼外大街</span>,11-05 16:00,Ⅰ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.69'>15.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.445'>8.44</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.544'>9.54</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：390.33'>390.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.041'>4.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.607'>1.61</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0512'>0.051</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0174'>0.017</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.262'>3.26</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:西城区&#10;所属河流:永定河引水渠'>广北滨河路(桥）</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：15.04'>15.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.4052'>8.41</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.223'>10.22</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：558.484'>558.5</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.322'>5.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.262'>2.26</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0559'>0.056</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.03887'>0.039</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.9508'>4.95</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:朝阳区&#10;所属河流:坝河'>沙窝</span>,11-05 16:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：18.24'>18.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.2'>7.20</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.465'>8.46</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：882.4'>882.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.064'>10.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.181'>4.18</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1595'>0.160</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.106'>0.106</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.032'>9.03</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:朝阳区&#10;所属河流:通惠河'>新八里桥</span>,11-05 16:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.95'>17.0</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.867'>7.87</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.165'>10.16</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：744.052'>744.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.136'>1.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.66'>4.66</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0479'>0.048</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.1122'>0.112</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.433'>10.43</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:丰台区&#10;所属河流:凉水河'>大红门闸上</span>,11-05 16:00,Ⅲ,<span data-toggle='tooltip' data-placement='right' title='原始值：19.25'>19.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.981'>7.98</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.907'>5.91</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1317.3'>1317.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.358'>3.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.288'>2.29</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0896'>0.090</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：14.88'>14.88</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:石景山区&#10;所属河流:永定河'>南大荒桥</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.39'>13.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.2022'>8.20</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：10.151'>10.15</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：908.208'>908.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：5.194'>5.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.954'>2.95</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0601'>0.060</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0314'>0.031</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.875'>4.88</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:海淀区&#10;所属河流:清河'>清河闸</span>,11-05 16:00,Ⅳ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.55'>16.6</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.74'>7.74</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.235'>6.24</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：935.43'>935.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.744'>1.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：3.33'>3.33</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.496'>1.496</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.038'>0.038</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.534'>9.53</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:海淀区&#10;所属河流:土城沟'>花园路</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：17.17'>17.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.605'>7.60</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.879'>9.88</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：504.4'>504.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.318'>2.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.949'>1.95</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0551'>0.055</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0318'>0.032</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：4.445'>4.44</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:房山区&#10;所属河流:小清河'>八间房漫水桥</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：16.1'>16.1</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.79'>7.79</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：9.77'>9.77</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1124.68'>1124.7</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.15'>2.2</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1.931'>1.93</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.025'>0.025</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.052'>0.052</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：6.06'>6.06</span>,*,*,正常
北京市,海河流域,<span data-toggle='tooltip' data-placement='right' title='所在地市:房山区&#10;所属河流:大石河'>码头</span>,11-05 16:00,Ⅱ,<span data-toggle='tooltip' data-placement='right' title='原始值：13.34'>13.3</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.74'>7.74</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：8.738'>8.74</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：1097.45'>1097.4</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：71.755'>71.8</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：2.95'>2.95</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0976'>0.098</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：0.0762'>0.076</span>,<span data-toggle='tooltip' data-placement='right' title='原始值：7.6334'>7.63</span>,*,*,正常
